Original,Optimized
0.0596185,0.0679025274
0.0510975,0.0539911936
0.0340626,0.041553571
0.0264931,0.0299418103
0.0596185,0.05666155
0.0894314,0.0856086573
0.14309,0.1284075664
0.178863,0.1899474133
0.357725,0.3459857106
