p1,p2,p3,p4,p5,p6,p7,p8,p9,df,df_no_opt
0.1131596755,0.1131596755,0.1083561022,0.0930034699,0.1131596755,0.1085721455,0.1682199787,0.0692096016,0.1131596755,0.024253007208458913,0.0237498
0.1392804637,0.1392804637,0.1252274012,0.0803115207,0.0488417177,0.125857534,0.1172258176,0.0846946176,0.1392804637,0.02470344220197093,0.0237498
0.1105788954,0.1105788954,0.1075907261,0.0980404114,0.1500460145,0.107724704,0.1058896687,0.0989717889,0.1105788954,0.02425041522285971,0.0237498
0.1409794182,0.0505725051,0.1262710296,0.0792622189,0.1332579274,0.126931245,0.1178966692,0.0838495686,0.1409794182,0.02454546690331768,0.0237498
0.1109429583,0.1504061998,0.1078145774,0.0978150301,0.109300235,0.1079540887,0.1060332665,0.0987906858,0.1109429583,0.02423196367328913,0.0237498
0.1370211193,0.1293412001,0.0740255069,0.0807051826,0.1289804476,0.122391919,0.1129840409,0.0775294643,0.1370211193,0.024154814170861787,0.0237498
0.1492037132,0.1398056733,0.1111744779,0.0737768078,0.1393640257,0.1313028154,0.1197907194,0.0764052049,0.0591765624,0.024037017896341717,0.0237498
0.154288663,0.1438602364,0.112089149,0.070591773,0.143369863,0.134424428,0.121650062,0.0735084451,0.0462173805,0.024088274035060434,0.0237498
0.0695706408,0.1479035806,0.1130019396,0.0674150397,0.1473655239,0.1375382374,0.1235049889,0.0706191218,0.1230809273,0.024320734598193474,0.0237498
0.1296295777,0.1517186024,0.1113846781,0.0624157148,0.151065707,0.0919470236,0.1221484093,0.0580546086,0.1216356784,0.024301035667510615,0.0237498
0.1819177517,0.1128168752,0.1040642938,0.0941564746,0.1126697112,0.0905767092,0.1061337881,0.0916464998,0.1060178964,0.024180630119616398,0.0237498
0.1330052702,0.0996817775,0.1039768965,0.1068015053,0.0997702502,0.136808667,0.1037142721,0.1124563108,0.1037850503,0.024502110158444192,0.0237498
0.1303261963,0.1409716056,0.1098551651,0.0715826439,0.1404720902,0.1012123665,0.1183414671,0.0692900595,0.1179484058,0.024080713338350407,0.0237498
