case,distance,df_mics
103,0.2610046986,0.0866278595
104,0.2189107255,0.082982787
105,0.2172331965,0.0910548799
106,0.2347745421,0.083314513
107,0.2065620162,0.0983022409
108,0.3041621459,0.086610486
109,0.447510044,0.0894018702
110,0.3683647048,0.0884461365
111,0.3645005357,0.0868692006
112,0.2919315566,0.0828294445
113,0.3286482385,0.0922683279
114,0.2041747361,0.0876363878
115,0.3167368274,0.0851012411
116,0.319396118,0.0864772273
117,0.32399579,0.0856198436
118,0.2482815383,0.0857914242
119,0.3228828314,0.0924730334
120,0.3710892802,0.0858206102
121,0.2955709231,0.0832122945
122,0.3374205214,0.0929006873
123,0.255952465,0.1060459809
124,0.3947135023,0.0969263983
125,0.2640014959,0.0850255673
126,0.4194207682,0.0886883507
127,0.2557096004,0.0823620905
128,0.2447391582,0.0863701774
129,0.37600209,0.0947670006
130,0.350931725,0.0944500979
131,0.3601002024,0.0850628231
132,0.2114901367,0.0844012937
133,0.3893162541,0.088317178
134,0.3181204881,0.0907326216
135,0.3083424036,0.0854875275
136,0.2173201241,0.0839046434
137,0.1410302003,0.0909769265
138,0.4162096046,0.0864698861
139,0.2073284017,0.0866576931
140,0.4388677918,0.1012637142
141,0.2823901296,0.0873947902
142,0.3893510144,0.095190217
143,0.1380403762,0.0911428023
144,0.390271071,0.0851129266
145,0.3405595156,0.0841763638
146,0.2954558382,0.0912457733
147,0.40162809,0.088757478
148,0.271616018,0.0905746942
149,0.3238898391,0.0924666733
150,0.3270859832,0.0911631207
151,0.2391727801,0.0962019298
152,0.3225715289,0.0950521464
153,0.1713952764,0.08292862
154,0.2703531676,0.0897581207
155,0.2369311757,0.0835373185
156,0.3120269664,0.0848476577
157,0.1952299903,0.0844770906
158,0.2626293313,0.0924459014
159,0.2246633215,0.0949168296
160,0.151118624,0.08511631
161,0.2479269782,0.0888584703
162,0.2616894818,0.0861093937
163,0.2789906525,0.0864562061
164,0.2272875093,0.0863544044
165,0.3558264472,0.0908869599
166,0.3280384689,0.0859439246
167,0.2866825267,0.0837146431
168,0.2965058117,0.0852665033
169,0.2240843088,0.0826097232
170,0.3344286896,0.0856646557
171,0.2101280819,0.0839831559
172,0.3396343942,0.0910851994
173,0.1108136083,0.0856785349
174,0.2624220453,0.0863220947
175,0.4238959615,0.09286076
176,0.4395515027,0.1026264338
177,0.4566069683,0.0859258912
178,0.230905918,0.0898384478
179,0.466405924,0.0882733281
180,0.1923629378,0.0821617489
181,0.2357606004,0.0881246126
182,0.279371723,0.0997710962
183,0.2784077215,0.0843844622
184,0.21439422,0.0866112548
185,0.4516805659,0.0867975717
186,0.2900904624,0.0915860957
187,0.248652904,0.0859773305
188,0.3197945853,0.0901123652
189,0.2953107634,0.0857239879
190,0.1867770836,0.0849886308
191,0.3402848269,0.0856249732
192,0.2772508815,0.0835859755
193,0.2757899925,0.0888625643
194,0.2702619056,0.0975917289
195,0.2917639815,0.0930565853
196,0.3280812288,0.085708716
197,0.3520289322,0.0847984326
198,0.3431118566,0.0901841638
199,0.2139360607,0.0933142316
200,0.4342400858,0.0917732384
201,0.3376651399,0.0869145468
202,0.4862452886,0.095648424
203,0.2193017496,0.0908741121
204,0.3031229129,0.0925192833
205,0.3968588082,0.0848174368
206,0.2298050286,0.0835291736
207,0.3169442778,0.0868888574
208,0.2902369784,0.0860517305
209,0.2722093128,0.0852203226
210,0.4297976567,0.0853044271
211,0.3280422702,0.0848877977
212,0.3755956791,0.1034669508
213,0.1981046672,0.0877576858
214,0.3933876513,0.0882020711
215,0.2403078241,0.0826791289
216,0.2293364218,0.0928702653
217,0.2105830733,0.08816849
218,0.3293228453,0.0852728277
219,0.1543950887,0.0916260362
220,0.3194566474,0.0840937053
221,0.2757416798,0.0839299474
222,0.3329090953,0.0883879669
223,0.2878541947,0.0957764184
224,0.2327335745,0.0852457174
225,0.2833821868,0.0885669257
226,0.2297060347,0.1030152017
227,0.2670881593,0.0896773931
228,0.3901182409,0.1069465477
229,0.1367853688,0.0889884607
230,0.2890113721,0.083160787
231,0.4242149724,0.0937117985
232,0.4042649346,0.118780808
233,0.2931288653,0.0885709376
234,0.4047074072,0.1003789253
235,0.2809702664,0.0884351105
236,0.2751063044,0.0847196878
237,0.2647296127,0.0937179119
238,0.2099104261,0.0876891475
239,0.4287515974,0.1131475639
240,0.2182788229,0.0930295168
241,0.2767462815,0.0862101422
242,0.4386115355,0.0897815458
243,0.3494911892,0.0907242668
244,0.2921031424,0.0961791796
245,0.1242165357,0.0857609896
246,0.3068276494,0.0888603149
247,0.3546415657,0.0844155288
248,0.2792071376,0.1047116994
249,0.4062430866,0.0886196427
250,0.2454300158,0.0869546845
251,0.2280611166,0.0965489992
252,0.2830959912,0.0863846855
253,0.3574757525,0.0869138866
254,0.3054634933,0.0874474681
255,0.3845137202,0.090299962
256,0.2790722605,0.0853462909
257,0.421791381,0.1012642056
258,0.3416922491,0.135287246
259,0.2248917979,0.0901240182
260,0.2783941382,0.0868169873
261,0.4220522968,0.1057319
262,0.1361813971,0.0883150427
263,0.2980707625,0.0834719728
264,0.2816306153,0.0859798753
265,0.3420021379,0.0843838784
266,0.4070208354,0.0864515886
267,0.4056705632,0.0847645856
268,0.2987410753,0.0872052032
269,0.3166165069,0.0860171348
270,0.3311288888,0.0867620017
271,0.3251512443,0.0849966487
272,0.2807415483,0.084897602
273,0.2650116836,0.0856620906
274,0.3597602094,0.0964311021
275,0.2934510251,0.0854167545
276,0.419314059,0.092676452
277,0.3415026153,0.0967460796
278,0.301422724,0.0922211026
279,0.2082392482,0.0873943132
280,0.3330011132,0.0882903972
281,0.1541870682,0.0826687057
282,0.2009784011,0.0905955636
283,0.334650244,0.0926733254
284,0.3129611229,0.0869953182
285,0.4507423891,0.0941362584
286,0.2622997883,0.0916684769
287,0.3028065822,0.0833177606
288,0.3373910381,0.0846368981
289,0.1768095874,0.0928193818
290,0.2523828653,0.0842300997
291,0.3606187821,0.1056235448
292,0.3261738064,0.0886906399
293,0.2378770671,0.0843189627
294,0.2703789526,0.0886077196
295,0.3697232355,0.0856431075
296,0.2957409897,0.0841969695
297,0.2240378164,0.0845829502
298,0.2800414593,0.0828979189
299,0.2921273482,0.096517246
300,0.2920571008,0.0847494834
301,0.386121958,0.0867005855
302,0.2604497137,0.0833387279
303,0.3011943894,0.0896066588
304,0.409252398,0.0868599791
305,0.2213393469,0.0870609579
306,0.1535686438,0.0939107525
307,0.4264152695,0.0983367943
308,0.3436013955,0.0851107166
309,0.2081054582,0.0827006207
310,0.2916886326,0.0846628692
311,0.2649768385,0.0942846368
312,0.2903778949,0.0856044471
313,0.3699035149,0.1043332994
314,0.2370862105,0.0909626192
315,0.3937481108,0.090482606
316,0.1934666479,0.1109911771
317,0.2735502724,0.1166408623
318,0.2115907703,0.0828784736
319,0.2241299387,0.0841946335
320,0.2010316793,0.0836324766
321,0.3222565163,0.0996747859
322,0.303380483,0.0997918071
323,0.2903387074,0.088645063
324,0.2651739203,0.1028802659
325,0.2115303164,0.0829146752
326,0.4475798601,0.1015458087
327,0.3968646346,0.0847771281
328,0.1218334879,0.0844937012
329,0.329680612,0.0972216952
330,0.1909472035,0.0857653693
331,0.4367126475,0.0830250667
332,0.2975453564,0.0846257146
333,0.2490864499,0.0856681864
334,0.1225595929,0.08970183
335,0.2538023442,0.0941182269
336,0.3834820686,0.0874115914
337,0.3677796516,0.1029880878
338,0.2777234396,0.0830537517
339,0.1640373414,0.0835303282
340,0.2755942881,0.0837169183
341,0.3391017329,0.0867591231
342,0.3205907506,0.0956457651
343,0.2351913331,0.0831544505
344,0.4126695433,0.0913309148
345,0.1699175382,0.0848554222
346,0.4633826265,0.0876574602
347,0.4742719749,0.0945444594
348,0.1618069529,0.0870009012
349,0.2497491666,0.0938946442
350,0.2598836448,0.0833544726
351,0.2929589497,0.0922294558
352,0.168345384,0.0833682991
353,0.4352485691,0.0897116657
354,0.2813705438,0.0938708965
355,0.1789574724,0.0862086924
356,0.3719279955,0.0905332142
357,0.4297917856,0.0929932794
358,0.237042302,0.085779495
359,0.3051782852,0.0833070384
360,0.3118726719,0.0888720179
361,0.2335630175,0.0841415707
362,0.3840219414,0.0888135362
363,0.2887476355,0.0855758693
364,0.4501706701,0.0905756583
365,0.2071405175,0.0851487774
366,0.3779417471,0.1032108932
367,0.3265299567,0.0871592937
368,0.35820845,0.0835402763
369,0.3702683441,0.0956652133
370,0.3922036542,0.1014766129
371,0.2941560661,0.0845932683
372,0.3552243656,0.0853235146
373,0.406477481,0.0901990442
374,0.3037917296,0.0902080389
375,0.3140640084,0.0870407794
376,0.3159864513,0.0853640343
377,0.1787477904,0.0935415336
378,0.3074308944,0.0923892324
379,0.3654585839,0.0872707706
380,0.2863378546,0.0913771675
381,0.3948883439,0.0916041974
382,0.3494211329,0.0866043289
383,0.388067802,0.0843314021
384,0.244693629,0.0943690807
385,0.2667755826,0.0832271982
386,0.2893051571,0.0916541344
387,0.3735598803,0.0925642976
388,0.2811674127,0.0863548382
389,0.2400670954,0.0829665319
390,0.4855980611,0.0917891581
391,0.2109506261,0.0866640875
392,0.2973340853,0.1261404536
393,0.4263000426,0.0898582473
394,0.3890066768,0.0883063701
395,0.2476357604,0.0889749304
396,0.198608891,0.0844501352
397,0.2898818991,0.0903774857
398,0.4016742872,0.0905681936
399,0.1839643477,0.0935319338
400,0.2410776029,0.0829705411
401,0.2124199976,0.1142876792
402,0.3603636193,0.0865394703
403,0.2692087232,0.0974484852
404,0.2764476565,0.0913696295
405,0.3576406701,0.0952580042
406,0.2927811294,0.0881623182
407,0.1920884036,0.0850524085
408,0.1729658602,0.0969860939
409,0.1405922084,0.0829333114
410,0.3230005603,0.0867596168
411,0.2051320872,0.1044445489
412,0.2698540284,0.0835333312
413,0.3711693794,0.0869625479
414,0.2550481152,0.0851599189
415,0.2411394735,0.0868030579
416,0.4511732767,0.0865722831
417,0.2677699435,0.0844112005
418,0.2044509021,0.1023699143
419,0.3892755876,0.0899314958
420,0.335607723,0.0843388653
421,0.3211177763,0.0880669555
422,0.2588219704,0.0957716625
423,0.2538675481,0.0841425088
424,0.4560517263,0.109425347
425,0.195223856,0.0867834767
426,0.2547281964,0.0883854735
427,0.3274728598,0.0845770091
428,0.3407946918,0.0895056015
429,0.2217031765,0.0831664597
430,0.3101465855,0.0865063076
431,0.3601095494,0.1058693467
432,0.3869351238,0.0830228396
433,0.2865545369,0.0839774417
434,0.3504499505,0.0827395253
435,0.26988215,0.0952251681
436,0.2162602039,0.0854592457
437,0.3884964669,0.0992727415
438,0.1911872031,0.0842657328
439,0.3329828224,0.0934488268
440,0.3985442597,0.0857654824
441,0.3052638257,0.0852155641
442,0.3223304812,0.0899433099
443,0.2557641263,0.0902602081
444,0.2520955896,0.0845374175
445,0.2892496168,0.0984093184
446,0.312745177,0.0920193883
447,0.3035941818,0.1110304149
448,0.4139867378,0.0839428559
449,0.2666118446,0.0852262549
450,0.3167988776,0.0951143337
451,0.2275119721,0.0824941018
452,0.3086787894,0.0861147273
453,0.3058882381,0.0878674624
454,0.2204978843,0.0858815119
455,0.4290191334,0.0967509546
456,0.215592826,0.0945968738
457,0.3394909246,0.0840095059
458,0.4506449969,0.0995502447
459,0.1640323674,0.0898018754
460,0.1596162918,0.09267174
461,0.2157505067,0.0839591164
462,0.2205239735,0.0850916316
463,0.2365909682,0.0927534792
464,0.097642145,0.1045016195
465,0.3118012949,0.0871959551
466,0.3271751514,0.0957669065
467,0.2431417803,0.0844459167
468,0.3845460854,0.0856088805
469,0.4027119328,0.0856054745
470,0.3067064351,0.0856750763
471,0.4163044251,0.0887870162
472,0.3282729784,0.096391697
473,0.3876605243,0.0928019718
474,0.4067959293,0.0842188811
475,0.3574386984,0.0920182629
476,0.3543410408,0.084642108
477,0.2114849865,0.0949947261
478,0.1694421691,0.0869558505
479,0.3623043762,0.0890323247
480,0.2811945947,0.0940035372
481,0.2310160593,0.0874595595
482,0.1765370649,0.0960003533
483,0.3121973181,0.0901731177
484,0.3412899319,0.095087279
485,0.2140249218,0.0824071882
486,0.3329952504,0.0842574431
487,0.2465236146,0.1095316914
488,0.3088057572,0.0943309433
489,0.342273372,0.1084660629
490,0.2328787418,0.0831959363
491,0.2310347648,0.083882688
492,0.4458973206,0.0887784443
493,0.2870730131,0.0825244681
494,0.3714811151,0.0856052402
495,0.1888389604,0.0829357324
496,0.2636292144,0.0860961986
497,0.3227849862,0.0860401054
498,0.3664077816,0.0902190875
499,0.3749548888,0.0837707816
500,0.3767578335,0.0878647802
501,0.3165100854,0.0918507141
502,0.3443176317,0.1063595045
503,0.2710300531,0.0851467217
504,0.3806364859,0.0864387704
505,0.2087600578,0.13073584
506,0.3424561485,0.1106178344
507,0.3062089028,0.0831780422
508,0.353188422,0.0911523902
509,0.2302553405,0.0989534819
510,0.2059161691,0.0840476212
511,0.2431757321,0.083449653
512,0.394635518,0.0975518914
513,0.3184784451,0.0879717388
514,0.3384733128,0.0943133953
515,0.4772697174,0.0881683079
516,0.3038227811,0.083945723
